Headline,Summary,Link,Content
"""Coronaspitters"" to be immediately tested for Covid-19"," Members of the public who deliberately cough or spit at police officers will be forced to be immediately tested for coronavirus, if a new emergency measure put forward on Friday wins parliamentary approval.
The law has been put in place after a spate of spitting and coughing incidents aimed at police, bus drivers, and store personnel were recorded in recent weeks, prompting concerns over the transmission of the coronavirus. ",https://nltimes.nl/2020/04/03/coronaspitters-immediately-tested-covid-19,"Members of the public who deliberately cough or spit at police officers will be forced to be immediately tested for coronavirus, if a new emergency measure put forward on Friday wins parliamentary approval.
The law has been put in place after a spate of spitting and coughing incidents aimed at police, bus drivers, and store personnel were recorded in recent weeks, prompting concerns over the transmission of the coronavirus.
The test will include the use of a saliva swab and paper cup to allow for ascertaining quick results. “This way we can immediately pick those people out in order to be able to protect the police properly,"" Minister of Justice and Security Ferd Grapperhaus told news agency NOS after a cabinet meeting on Friday. “They take that mucus with a cotton swab, just as you see on CSI!”
The emergency measure, which was approved by the Cabinet on Friday, is expected to be brought in front of parliament in the coming weeks, Grapperhaus added.
This comes the same day that the Ministry of Justice and Security announced that any member of the public who is convicted of assaulting a civil servant will no longer be eligible for a community service sentence. The law, which was originally in place only for perpetrators of violent crime, has today been extended to include all civil servants, including police, healthcare workers and firefighters.
"
Coronavirus also slowing down criminal assassination attempts: report," The coronavirus crisis is also having an effect on the the Netherlands' criminal underworld. The police received information that planned assassinations are being postponed after social distancing measures were implemented to curb the spread of Covid-19, Jan Struijs of police union NPB said to the Telegraaf.
According to Struijs, the slow down in murder attempts may have to do with the emptier streets - getaway cars are now easier to spot and follow. ""The chance of getting caught is greater now,"" he said to the newspaper. ",https://nltimes.nl/2020/04/03/coronavirus-also-slowing-criminal-assassination-attempts-report,"The coronavirus crisis is also having an effect on the the Netherlands' criminal underworld. The police received information that planned assassinations are being postponed after social distancing measures were implemented to curb the spread of Covid-19, Jan Struijs of police union NPB said to the Telegraaf.
According to Struijs, the slow down in murder attempts may have to do with the emptier streets - getaway cars are now easier to spot and follow. ""The chance of getting caught is greater now,"" he said to the newspaper.
But that doesn't mean crime has come to a stand still. Organized crime is responding to the crisis with corona-related cybercrime, fraud, and the production of counterfeit products, Struijs said. ""Criminals are extremely creative. Look at drug sales. Due to the closed hospitality and canceled events, part of the sales market has disappeared. What we are seeing now is an increase in drugs by mail."" 
Struijs is also concerned about hygiene measures meaning that there is now less cash in circulation. ""Criminals like cash and become desperate. Chances are greater of robberies and burglaries at home. More chance of violence being used.""
Investigations are also being hindered by the virus and measures to curb it. Protective measures make it more difficult to intercept a drug transport, arrest criminals involving several countries, or question witnesses abroad. ""I hear from the intelligence department that with about 80 percent of the information now received by the police, nothing can be done,"" Strijs said. 
According to Struijs, the long-term effects the coronavirus will have on crime and the fight against it, are hard to predict. ""The criminal investigation department now has to very quickly switch to tackling new forms of crime, only to switch back after the corona crisis,"" he said. 
"
"Victims, attorneys want courts to handle more cases; thousands delayed by Covid-19"," Despite the coronavirus crisis, courts urgently need to handle more criminal cases, according to defense lawyers, the Bar Association, and victims. Many thousands of criminal cases are being delayed because the courts and tribunals closed to all but the most urgent cases in mid-March. And the already significant backlogs are building up, NOS reports. ",https://nltimes.nl/2020/04/03/victims-attorneys-want-courts-handle-cases-thousands-delayed-covid-19,"Despite the coronavirus crisis, courts urgently need to handle more criminal cases, according to defense lawyers, the Bar Association, and victims. Many thousands of criminal cases are being delayed because the courts and tribunals closed to all but the most urgent cases in mid-March. And the already significant backlogs are building up, NOS reports.
The Dutch Association for Criminal Defense Lawyers calls for the courts to reopen. ""Courthouses and rooms are often very large. It is therefore possible to hold a hearing and still comply with existing regulations,"" chairman Jeroen Soeteman said. ""We understand the difficult situation that the judiciary is now, but if experts can agree with this working method, we must apply it. Now criminal law is almost completely halted.""
The Bar Association supports this call, saying it receives similar signals from other jurisdictions. Currently only lawsuits in which a decision has to be urgently made is being handled. According to the Bar, the term urgent is ""very strictly defined"" 
Victim Support Netherlands also hopes that the judiciary will at least make more digital hearings possible. ""Postponing cases will only increase the already long lead times,"" spokesperson Jytte Reichert said to NOS. ""While a lawsuit is so important for victims and surviving loved ones. Only after a substantive hearing they can get closure.""
On March 6th, shortly before the coronavirus really became a crisis in the Netherlands, the Public Prosecution Service reported that some 23 thousand criminal cases had to be postponed due to capacity problems. With the coronavirus closing court rooms, those postponed cases just keep piling up. The Amsterdam court, for example, held only eight hearings scheduled this week, compared to 60 criminal cases per week a month ago, according to the broadcaster. 
""Physical hearings are very rare now, but that does not mean that the entire judiciary has come to a standstill,"" a spokesperson for the Council for the Judiciary said to NOS. Some cases are handled in writing, others via video- or phone call. The Council said that the number and types of cases considered urgent enough to handle will increase in the near future. Talks are currently underway with lawyers and the Public Prosecution Service, among others, to handle more cases in writing or by phone. 
The Council also said that in almost all cantonal cases, a ruling was made this past week. These involve smaller cases like speeding offenses. In total, judges gave 22 thousand rulings - just under 80 percent of the normal number of cases in a week, according to the broadcaster. 
"
LGBTQ students and pupils experience more discrimination: report," More pupils and students in the Netherlands feel discriminated against than five years ago. Especially among young people of the LGBTQ community report more violence, threats, and sexual harassment aimed against them, according to a report 'Experienced discrimination in the Netherlands II' by social planning agency SCP, RTL Nieuws reports. ",https://nltimes.nl/2020/04/02/lgbtq-students-pupils-experience-discrimination-report,"More pupils and students in the Netherlands feel discriminated against than five years ago. Especially among young people of the LGBTQ community report more violence, threats, and sexual harassment aimed against them, according to a report 'Experienced discrimination in the Netherlands II' by social planning agency SCP, RTL Nieuws reports.
Students and pupils with a migration background and students and pupils who are part of the LGBTQ community expedience relatively high levels of discrimination in education. Of all pupils and students in the Netherlands, between 2 and 3 percent indicate that they've quit their studies due to discrimination. Among the LGBTQ community, this is much higher at 8 percent.
27 percent of all Dutch people experience discrimination, about the same as five years ago. But there were shifts in ""where and who experienced how much discrimination,"" the SCP said. For example, Netherlands residents experience more discrimination on the grounds of gender and disability. And Dutch-Turks and Dutch-Moroccans reported experiencing less discrimination than in 2013, though they are still the groups with the highest percentages of experienced discrimination.
""It is plausible that social developments played a role in these shifts. For example, #metoo probably not only delineated the boundaries of acceptable interpersonal behavior, but also increased the recognition of violations and reduced the tolerance for violations.""
The results of this study, done on behalf of the Ministry of Social Affairs and Employment, does not surprise Astrid Oosenbrug of LGBTQ interest organization COC. She calls on the government to tighten the requirements for tackling LGBTQ discrimination in schools, and for this to form a mandatory part in teacher training. 
"
Police take ten scam coronavirus webshops offline," Over the past weeks, the Dutch police took down ten web shops who were selling coronavirus related scams. These online stores offered items ranging from antibacterial bank cards, to a Covid-19 tracker, and included multiple web shops offering medical masks for sale, the police said in a statement.  ",https://nltimes.nl/2020/04/01/police-take-ten-scam-coronavirus-webshops-offline,"Over the past weeks, the Dutch police took down ten web shops who were selling coronavirus related scams. These online stores offered items ranging from antibacterial bank cards, to a Covid-19 tracker, and included multiple web shops offering medical masks for sale, the police said in a statement. 
According to the police, anti-coronavirus measures restricting people to their homes, combined with uncertainty and the need for information that entails, make fertile ground for cyber criminals. The police haven't seen a noticeable increase in online crime, but did notice that criminals are taking advantage of current events. For example, a fake email made to look like it came from the RIVM was infecting computers with malware. And there was a fake WhatsApp message about a benefit for people out of work due to the virus, through which criminals tried to get bank details.
The national hotline for online fraud LMIO received many reports about suspicious web shops offering corona related products over the past weeks. Investigation resulted in 10 such online stores being taken offline. ""We are trying to thwart criminals and disrupt their fraudulent practices so that no more people are victims,' Gijs van der Linden of LMIO said. ""We take the measure that has the fastest effect, the most effect. That's not always looking for the one behind it.""
The police warn that cyber criminals will continue to abuse this crisis for as long as it continues. ""It is therefore important that people also take precautions themselves,"" said Theo van der Plas, program manager of Digitization and Crime at the police. ""For example, by properly securing devices. We hear that older computers are dusted off so that every family member can work at home. Then make sure that the security is up to date with the most recent anti-virus programs.""
""It also doesn't hurt to take a critical look at your passwords use a long sentence for that,"" Van der Plas advised. ""And never just click on a link. Official authorities and banks never ask for personal information via text message, email or app.""
"
"Body of missing Scottish man, 21, found in Duivendrecht"," A pedestrian walking in Duivendrecht Wednesday morning found the body of 21-year-old Matthew McCombe. The Scottish man had been missing since March 14, after he left his hotel early that morning.
Police would not speculate on foul play, saying only that his cause of death was under investigation, police told NL Times. His body was found at about 9:10 a.m. in the water at the Molenkade, part of a wide area where volunteers and rescue workers had focused their efforts in the two weeks after he disappeared. ",https://nltimes.nl/2020/04/01/body-missing-scottish-man-21-found-duivendrecht,"A pedestrian walking in Duivendrecht Wednesday morning found the body of 21-year-old Matthew McCombe. The Scottish man had been missing since March 14, after he left his hotel early that morning.
Police would not speculate on foul play, saying only that his cause of death was under investigation, police told NL Times. His body was found at about 9:10 a.m. in the water at the Molenkade, part of a wide area where volunteers and rescue workers had focused their efforts in the two weeks after he disappeared.
McCombe was staying at the Novotel in Amsterdam Zuid for the weekend, celebrating his birthday with some friends. He walked out of the hotel towards the RAI convention center at 6:15 a.m., and a half-hour later he was walking on Amsteldijk near the Berlagebrug, a bridge over the Amstel river, surveillance camera footage showed.
McCombe's father had been in town to try and track down his son's whereabouts. The social distancing measures in place to fight the spread of coronavirus made it difficult to coordinate a large volunteer search effort, a family representative said.
He was identified by the Scottish Sun newspaper as being the grandson of football legend Billy McNeill, who captained Celtic when the team won its 1967 European Cup.
Anyone who might have seen McCombe after his disappearance should contact police so they can piece together the events that led up to Wednesday morning's discovery.
"
Machete attack in Rotterdam home; four arrested," A man was attacked with a machete in a home on Carnisselaan in Rotterdam on Tuesday evening. He was taken to hospital with non-critical injuries, the police said on Twitter. Four suspects were arrested.
The attack happened at around 9:00 p.m. The four suspects fled the home towards The Hague, the police said. Searching officers found them on them driving on the A13 highway. ",https://nltimes.nl/2020/04/01/machete-attack-rotterdam-home-four-arrested,"A man was attacked with a machete in a home on Carnisselaan in Rotterdam on Tuesday evening. He was taken to hospital with non-critical injuries, the police said on Twitter. Four suspects were arrested.
The attack happened at around 9:00 p.m. The four suspects fled the home towards The Hague, the police said. Searching officers found them on them driving on the A13 highway.
The car was pulled over and the police ordered the people inside to get out. They did not listen to police instructions, the police said. A warning shot was fired, after which the suspects were arrested. 
Whether or how the suspects and victim know each other, the police did not say. The motive for the attack is under investigation. 
"
Missing father found days after 4 found dead including his children," Police say they have found the 33-year-old man wanted in connection with the deaths of his two children, their mother, and their grandmother. Authorities were searching for Onur K. after the four were found dead in their home in Etten-Leur, Noord-Brabant on Saturday evening.
The announcement was made just before 4 p.m. by police working in the Breda district. Officers would only say that the man was found in Etten-Leur, but no other details were immediately available. ",https://nltimes.nl/2020/03/31/missing-father-found-days-4-found-dead-including-children,"Police say they have found the 33-year-old man wanted in connection with the deaths of his two children, their mother, and their grandmother. Authorities were searching for Onur K. after the four were found dead in their home in Etten-Leur, Noord-Brabant on Saturday evening.
The announcement was made just before 4 p.m. by police working in the Breda district. Officers would only say that the man was found in Etten-Leur, but no other details were immediately available.
K. was not identified as a suspect by police when authorities said they were searching for him. They said they were concerned about his well-being considering the discovery in the home, and by releasing personal information about him and photographs they thought they could find him more quickly.
It started on Saturday at about 6 p.m. with a report of a foul odor coming from the house on Dasseburcht in the Noord-Brabant town. ""It was not clear to the police officers who first arrived on scene what had happened in the house. For their own safety, they had the fire department come out to take measurements,"" police said about the incident.
Surviving family members and neighbors were shocked by what had happened in the neighborhood. They called what happened ""horrible"", recalling fond memories of the small children playing out in front of the home.
Of the arrest, Etten-Leur mayor Miranda de Vries said, ""Good to hear that the suspect was arrested,"" adding praise for police officers on the case.""Perhaps - aside from this great tragedy - this also brings peace to people who were frightened.""
"
"Over 2,000 kilos of cocaine found at Rotterdam Port since Friday"," Customs authorities intercepted over 2 thousand kilograms of cocaine at the port of Rotterdam in multiple discoveries on Friday and Monday, the Public Prosecutor announced. The drugs were found hidden in shipments of fruit or fruit products from Brazil and Costa Rica.
On Friday, 1,170 kilograms of cocaine were found hidden in a container loaded with mangoes from Brazil. The shipment was destined for a company in Zwaag. ",https://nltimes.nl/2020/03/31/2000-kilos-cocaine-found-rotterdam-port-since-friday,"Customs authorities intercepted over 2 thousand kilograms of cocaine at the port of Rotterdam in multiple discoveries on Friday and Monday, the Public Prosecutor announced. The drugs were found hidden in shipments of fruit or fruit products from Brazil and Costa Rica.
On Friday, 1,170 kilograms of cocaine were found hidden in a container loaded with mangoes from Brazil. The shipment was destined for a company in Zwaag.
Later on Friday, another two bathes of cocaine were found, one of 20 kilos and one of 14 kilos, hidden in containers of lime juice from Brazil. These two containers were destined for a company in Rotterdam.
On Monday, customs officers found 865 kilos of cocaine in  container loaded with pineapples from Costa Rica. The container was destined for a company in Antwerp.
The drugs were all confiscated and destroyed. According to the Public Prosecutor, the companies who were set to receive the containers were likely not involved in the drug trafficking.
The HARC team, a partnership of Customs, FIOD, Seaport Police, and Public Prosecution Service in Rotterdam, is investigating the matter further. 
"
Prized Van Gogh painting stolen in Laren museum burglary," A Van Gogh masterpiece was stolen during an early morning break-in at the Singer Museum in Laren, museum officials confirmed Monday afternoon. The theft of the painting, called ""De Lentetuin,"" shocked and angered museum management, they said during a press conference.
""I am extremely pissed off that this happened. This is a huge blow,"" said museum director Jan Rudolph de Lorm. ""This is extremely difficult, especially in these times."" ",https://nltimes.nl/2020/03/30/prized-van-gogh-painting-stolen-laren-museum-burglary,"A Van Gogh masterpiece was stolen during an early morning break-in at the Singer Museum in Laren, museum officials confirmed Monday afternoon. The theft of the painting, called ""De Lentetuin,"" shocked and angered museum management, they said during a press conference.
""I am extremely pissed off that this happened. This is a huge blow,"" said museum director Jan Rudolph de Lorm. ""This is extremely difficult, especially in these times.""
De Lentetuin was on loan from the Groninger Museum. Painted in 1884, it portrays the garden of the Dutch Reformist Church in Nuenen, where Van Gogh's father was the Vicar.
Groninger Museum director Andreas Blühm said the real victims were ""the Dutch people."" He said they would fight tooth and nail to recover the stolen artwork. ""We are not deterred. We will ensure that it is back as soon as possible,"" Blühm stated.
Last night this Van Gogh painting was stolen from the Singer Museum in Laren, the Netherlands. The hunt is on... pic.twitter.com/2K9ltNHRPt
— Arthur Brand (@brand_arthur) March 30, 2020
The break-in happened at around 3:15 a.m., the police said. Investigators were at the scene all day, where the large glass door at the front of the building was busted open. After the burglar alarm was tripped, officers headed straight for the museum,"" police said. The perpetrators were nowhere to be found.
Authorities were also speaking to local residents. They called on anyone who noticed anything suspicious around the museum to come forward.
The museum said its security met all requirements put forward by its insurers. They said they would review security and investigate where improvements can be made.
The Singer Museum contains paintings by Piet Mondriaan and Jan Toorop among its collection of three thousand pieces. The museum has been closed to the public for some time, due to restrictions in place to curb the spread of the coronavirus Covid-19.
Earlier in the day, a spokesperson for the museum confirmed the break-in to RTL Nieuws. ""I can confirm that there was a break-in, but in the interest of the investigation I can make no further statements about it,"" the spokesperson said to the broadcaster. ""The police should now be able to do their work in peace.""
Located in Laren, Noord-Holland, the Singer Museum was also targeted by burglars at the beginning of 2007. Seven statues were stolen from the museum's garden during the January theft, including a bronze cast of Robin's The Thinker. It was found significantly damaged days later.
"
